advisory_url,advisory_date,advisory_source,source_product_text,package_label,cultivar_candidate_text,commercial_product_label,package_size_text,product_form,brand_candidate
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-september-18-2024-and-january-30-2025-february-3/,2025-02-03,CCC Public Health and Safety Advisory,3.5g Jar,F2H23SLAP080524,Slap N Tickle,Jar,3.5g,Jar,
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-september-18-2024-and-january-30-2025-february-3/,2025-02-03,CCC Public Health and Safety Advisory,0.8g Pre-Roll,F2H23SLAP080524,Slap N Tickle,Pre-Roll,0.8g,Pre-Roll,
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-september-18-2024-and-january-30-2025-february-3/,2025-02-03,CCC Public Health and Safety Advisory,3.5g Jar,F3H23TEYE081924,Tiger’s Eye,Jar,3.5g,Jar,
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-september-18-2024-and-january-30-2025-february-3/,2025-02-03,CCC Public Health and Safety Advisory,0.8g Pre-Roll,F3H23TEYE081924,Tiger’s Eye,Pre-Roll,0.8g,Pre-Roll,
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-may-31-2024-and-january-23-2025-february-3-2025/,2025-02-03,CCC Public Health and Safety Advisory,1 g Pre-rolls Strane,CaFi-240409,Carbon Fiber,Pre-rolls Strane,1 g,Pre-rolls,Strane
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-may-31-2024-and-january-23-2025-february-3-2025/,2025-02-03,CCC Public Health and Safety Advisory,3.5 g Strane,CaFi-240409,Carbon Fiber,Strane,3.5 g,,
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-may-31-2024-and-january-23-2025-february-3-2025/,2025-02-03,CCC Public Health and Safety Advisory,1 g Pre-rolls Strane,CaFi-240409,Carbon Fiber,Pre-rolls Strane,1 g,Pre-rolls,Strane
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-may-31-2024-and-january-23-2025-february-3-2025/,2025-02-03,CCC Public Health and Safety Advisory,28 g Strane,CaFi-240409,Carbon Fiber,Strane,28 g,,
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-may-31-2024-and-january-23-2025-february-3-2025/,2025-02-03,CCC Public Health and Safety Advisory,1 g Pre-rolls Strane,FrJu-240521,Frosted Jungle,Pre-rolls Strane,1 g,Pre-rolls,Strane
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-may-31-2024-and-january-23-2025-february-3-2025/,2025-02-03,CCC Public Health and Safety Advisory,3.5 g Strane,FrJu-240521,Frosted Jungle,Strane,3.5 g,,
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-may-31-2024-and-january-23-2025-february-3-2025/,2025-02-03,CCC Public Health and Safety Advisory,3.5 g Garcia Hand Picked,HiOG-240409,Highland OG,Garcia Hand Picked,3.5 g,,
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-may-31-2024-and-january-23-2025-february-3-2025/,2025-02-03,CCC Public Health and Safety Advisory,28 g Garcia Hand Picked,HiOG-240409,Highland OG,Garcia Hand Picked,28 g,,
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-may-31-2024-and-january-23-2025-february-3-2025/,2025-02-03,CCC Public Health and Safety Advisory,7 g Garcia Hand Picked,HiOG-240409,Highland OG,Garcia Hand Picked,7 g,,
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-may-31-2024-and-january-23-2025-february-3-2025/,2025-02-03,CCC Public Health and Safety Advisory,1 g Pre-rolls Garcia Hand Picked,HiOG-240409,Highland OG,Pre-rolls Garcia Hand Picked,1 g,Pre-rolls,Garcia Hand Picked
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-may-31-2024-and-january-23-2025-february-3-2025/,2025-02-03,CCC Public Health and Safety Advisory,Pre-rolls Strane,SiKu-240305,Silver Kush,Pre-rolls Strane,,Pre-rolls,Strane
https://masscannabiscontrol.com/2025/02/notice-massachusetts-cannabis-control-commission-public-health-and-safety-advisory-potentially-contaminated-marijuana-products-sold-between-may-31-2024-and-january-23-2025-february-3-2025/,2025-02-03,CCC Public Health and Safety Advisory,5g Pre-roll 10 pk Strane,SiKu-240305,Silver Kush,Pre-roll 10 pk Strane,5g,Pre-roll,10 pk Strane
