facility_name,license_number,municipality,zip_code,product_count
5 & Dime Detroit,PC-000205,Detroit,48234,2
7Engines,AU-R-000521,Buchanan,49107,5
"Atlas Cannabis, Atlas Cannabis Co.",AU-R-000762,Constantine,49042,13
Bazonzoes,AU-R-000293,Lansing,48917,3
Bazonzoes,AU-R-000394,Walled Lake,48390,30
Bazonzoes,AU-R-000703,Lansing,48911,3
BBJ Corunna LLC,AU-R-000859,Corunna,48817,1
Bodega Michigan,AU-R-000617,Muskegon,49442,11
BOWZ,AU-R-001153,Riverview,48193,3
Cannabis King,AU-R-000512,Burton,48529,37
CannaVibes Emporium,AU-R-000364,Battle Creek,49037,5
Cherry Brands,AU-R-001080,Jackson,49202,18
CHO,AU-R-000797,Stanton,48888,6
Cloud Cannabis 28th Street,AU-R-000940,Grand Rapids,49508,26
Cloud Cannabis Cedar Springs,AU-R-000853,Cedar Springs,49319,49
Cloud Cannabis Company,AU-R-000317,Ann Arbor,48105,49
Cloud Cannabis Company,AU-R-000956,Traverse City,49686,7
Cloud Cannabis Company,AU-R-001143,Gaylord,49735,5
Cloud Cannabis Company,AU-R-001144,Grand Rapids,49508,26
Cloud Cannabis Company,AU-R-001147,Grand Rapids,49504,30
Cloud Cannabis Company,AU-R-001148,Muskegon,49445,19
Cloud Cannabis Company,AU-R-001149,New Baltimore,48047,27
Cloud Cannabis Company,AU-R-001151,Utica,48317,37
Cloud Cannabis Company,AU-R-001152,Ann Arbor,48105,29
Cloud Cannabis Company,AU-R-001183,Cedar Springs,49319,4
Cloud Cannabis Company,AU-R-001228,Kalamazoo,49004,3
Cloud Cannabis Detroit,AU-R-000889,Detroit,48224,35
Cloud Cannabis Fulton,AU-R-000976,Grand Rapids,49504,42
Cloud Cannabis Kalamazoo,AU-R-000556,Kalamazoo,49004,84
Cloud Cannabis Muskegon,AU-R-000955,Muskegon,49445,44
Cloud Cannabis New Baltimore,AU-R-000707,New Baltimore,48047,20
Cloud Cannabis Utica,AU-R-000434,Utica,48317,2
Cloud Cannabis Utica,AU-R-000999,Utica,48317,68
"Cloud Gaylord, LLC",AU-R-000980,Gaylord,49735,43
Consume Cannabis Alma,AU-R-001002,Alma,48801,43
Consume Cannabis Bay City,AU-R-000500,Bay City,48708,9
Consume Cannabis Harrisville,AU-R-000345,Harrisville,48740,10
Consume Cannabis Ionia,AU-R-000485,Ionia,48846,48
Consume Cannabis Lapeer,AU-R-000341,Lapeer,48446,28
Consume Cannabis Quincy,AU-R-000249,Quincy,49082,58
Crave Cannabis,AU-R-000656,Monroe,48161,317
Crave Cannabis Ann Arbor,AU-R-001107,Ann Arbor,48108,20
Dacut,AU-R-000887,Detroit,48205,63
Daly Dope Inc,AU-R-000804,Three Rivers,49093,1
