facility_name,license_number,municipality,zip_code,metrc_tag,product_name,product_category
5 & Dime Detroit,PC-000205,Detroit,48234,1A405010002786D000029809,Strawberry 1g Infused Preroll,Infused Pre-Rolls
5 & Dime Detroit,PC-000205,Detroit,48234,1A405010002786D000029811,Strawberry 1g Infused Preroll,Infused Pre-Rolls
7Engines,AU-R-000521,Buchanan,49107,1A4050300038CFE000019205,Apple Burst 1g Vape,Vape Cart
7Engines,AU-R-000521,Buchanan,49107,1A4050300038CFE000015944,Dirty Shirly 1g Vape,Vape Cart
7Engines,AU-R-000521,Buchanan,49107,1A4050300038CFE000019802,Fruity Pebbles Vape Cart,Vape Cart
7Engines,AU-R-000521,Buchanan,49107,1A4050300038CFE000019246,Grape Soda 1g Vape,Vape Cart
7Engines,AU-R-000521,Buchanan,49107,1A4050300038CFE000018630,Watermelon Freeze Disposables,Vape Cart
"Atlas Cannabis, Atlas Cannabis Co.",AU-R-000762,Constantine,49042,1A4050300038CFE000011823,Banana Split 1g Disposable,Vape Cart
"Atlas Cannabis, Atlas Cannabis Co.",AU-R-000762,Constantine,49042,1A4050300038CFE000011819,Blue Dream 1g Disposable,Vape Cart
"Atlas Cannabis, Atlas Cannabis Co.",AU-R-000762,Constantine,49042,1A4050300038CFE000011822,Fruity Pebbles 1g Disposable,Vape Cart
"Atlas Cannabis, Atlas Cannabis Co.",AU-R-000762,Constantine,49042,1A4050300038CFE000011170,Grape Soda 1g Vape,Vape Cart
"Atlas Cannabis, Atlas Cannabis Co.",AU-R-000762,Constantine,49042,1A4050300038CFE000011171,Grape Soda 1g Vape,Vape Cart
"Atlas Cannabis, Atlas Cannabis Co.",AU-R-000762,Constantine,49042,1A4050300038CFE000011820,Lemon Cheese Cake Vape,Vape Cart
"Atlas Cannabis, Atlas Cannabis Co.",AU-R-000762,Constantine,49042,1A4050300038CFE000011818,OG Vape Cart,Vape Cart
"Atlas Cannabis, Atlas Cannabis Co.",AU-R-000762,Constantine,49042,1A4050300038CFE000011327,Peaches and Cream Vape Cart,Vape Cart
"Atlas Cannabis, Atlas Cannabis Co.",AU-R-000762,Constantine,49042,1A4050300038CFE000011335,Peaches and Cream Vape Cart,Vape Cart
"Atlas Cannabis, Atlas Cannabis Co.",AU-R-000762,Constantine,49042,1A4050300038CFE000011637,Pina Colada Disposables,Vape Cart
"Atlas Cannabis, Atlas Cannabis Co.",AU-R-000762,Constantine,49042,1A4050300038CFE000011638,Pina Colada Disposables,Vape Cart
"Atlas Cannabis, Atlas Cannabis Co.",AU-R-000762,Constantine,49042,1A4050300038CFE000011821,Strawberry Shortcake Vape Cart,Vape Cart
"Atlas Cannabis, Atlas Cannabis Co.",AU-R-000762,Constantine,49042,1A4050300038CFE000011816,Watermelon Freeze Vape Cart,Vape Cart
Bazonzoes,AU-R-000293,Lansing,48917,1A405030003BB7B000000097,Skywalker 1g Infused Preroll,Infused Pre-Rolls
Bazonzoes,AU-R-000293,Lansing,48917,1A405030003BB7B000000088,Watermelon 1g Infused Preroll,Infused Pre-Rolls
Bazonzoes,AU-R-000293,Lansing,48917,1A405030003BB7B000000089,Waui 1g Infused Preroll,Infused Pre-Rolls
Bazonzoes,AU-R-000394,Walled Lake,48390,1A4050300038CFE000011833,OG 1g Infused Preroll,Infused Pre-Rolls
Bazonzoes,AU-R-000394,Walled Lake,48390,1A4050300038CFE000011791,Peach Mango 1g Infused Preroll,Infused Pre-Rolls
Bazonzoes,AU-R-000394,Walled Lake,48390,1A4050300038CFE000011831,Peach Mango 1g Infused Preroll,Infused Pre-Rolls
Bazonzoes,AU-R-000394,Walled Lake,48390,1A4050300038CFE000002484,Skywalker 1g Infused Preroll,Infused Pre-Rolls
Bazonzoes,AU-R-000394,Walled Lake,48390,1A4050300038CFE000011793,Strawberry 1g Infused Preroll,Infused Pre-Rolls
Bazonzoes,AU-R-000394,Walled Lake,48390,1A4050300038CFE000002463,Watermelon 1g Infused Preroll,Infused Pre-Rolls
Bazonzoes,AU-R-000394,Walled Lake,48390,1A4050300038CFE000011794,Watermelon 1g Infused Preroll,Infused Pre-Rolls
Bazonzoes,AU-R-000394,Walled Lake,48390,1A4050300038CFE000002465,Waui 1g Infused Preroll,Infused Pre-Rolls
Bazonzoes,AU-R-000394,Walled Lake,48390,1A4050300038CFE000011795,Waui 1g Infused Preroll,Infused Pre-Rolls
Bazonzoes,AU-R-000394,Walled Lake,48390,1A4050300038CFE000011805,Banana Split 1g Disposable,Vape Cart
Bazonzoes,AU-R-000394,Walled Lake,48390,1A4050300038CFE000001062,Banana Split Vape Cart,Vape Cart
Bazonzoes,AU-R-000394,Walled Lake,48390,1A4050300038CFE000011804,Blue Dream 1g Disposable,Vape Cart
